 , date,rtt(ns),GUID,type,seq#,success/fail,,,,,,,,,,,,,
 ,[12:16:45.890],-,TRACE,-,main/GNRSServer,-,Loading,configuration,file,rock-configs/current/server.xml.,,,,,,,,,
,[13:35:48.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:49.411],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:50.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:51.408],-,INFO,-,Timer-0/BerkeleyDBStore$StatsTask,-,BDB,Cache,Misses:,0,,,,,,,,,
,[13:35:51.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:52.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:53.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:54.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:55.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:56.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:57.418],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:58.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:35:59.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:36:00.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:36:01.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:36:01.409],-,INFO,-,Timer-0/BerkeleyDBStore$StatsTask,-,BDB,Cache,Misses:,0,,,,,,,,,
,[13:36:02.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:36:03.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:36:04.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:36:05.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:36:06.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:36:07.408],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:36:08.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:36:09.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[13:36:10.409],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
